,0
Array System,64.70783785293334
Export System,167.263
Offshore Substation,165.7985
Scour Protection,15.515
Substructure,448.95387926992106
Array System Installation,44.729233336870436
Export System Installation,195.4978050521689
Offshore Substation Installation,10.666952953540624
Scour Protection Installation,73.09028049576
Substructure Installation,78.72645251655332
Turbine Installation,161.4837736464446
Turbine,1300.0
Soft,616.8809893694155
Project,252.08333333333334
construction_insurance_capex,31.353976223928207
decomissioning_costs,97.32355090523076
construction_financing,137.87368672130273
procurement_contingency_costs,124.32869748456412
install_contingency_costs,194.64710181046152
project_completion_capex,31.353976223928207
